Subject	Object
DBR:China	HANCESTRO:0003
DBR:India	HANCESTRO:0003
DBR:Iran	HANCESTRO:0003
DBR:Japan	HANCESTRO:0003
DBR:Philippines	HANCESTRO:0003
DBR:Republic_of_Ireland	HANCESTRO:0003
DBR:South_Korea	HANCESTRO:0003
DBR:United_Kingdom	HANCESTRO:0003
DBR:United_States	HANCESTRO:0003
ORPHANET.ORDO:100006	ORPHANET.ORDO:85458
ORPHANET.ORDO:100008	ORPHANET.ORDO:85458
ORPHANET.ORDO:100011	ORPHANET.ORDO:86823
ORPHANET.ORDO:100012	ORPHANET.ORDO:86823
ORPHANET.ORDO:100013	ORPHANET.ORDO:86823
ORPHANET.ORDO:100014	ORPHANET.ORDO:86823
ORPHANET.ORDO:100015	ORPHANET.ORDO:86823
ORPHANET.ORDO:100016	ORPHANET.ORDO:86823
ORPHANET.ORDO:100031	ORPHANET.ORDO:88661
ORPHANET.ORDO:100032	ORPHANET.ORDO:88661
ORPHANET.ORDO:100033	ORPHANET.ORDO:88661
ORPHANET.ORDO:100034	ORPHANET.ORDO:88661
ORPHANET.ORDO:100043	ORPHANET.ORDO:90114
ORPHANET.ORDO:100044	ORPHANET.ORDO:90114
ORPHANET.ORDO:100045	ORPHANET.ORDO:90114
ORPHANET.ORDO:100046	ORPHANET.ORDO:90114
ORPHANET.ORDO:100047	ORPHANET.ORDO:91357
ORPHANET.ORDO:100048	ORPHANET.ORDO:91357
ORPHANET.ORDO:100049	ORPHANET.ORDO:264992
ORPHANET.ORDO:100050	ORPHANET.ORDO:91378
ORPHANET.ORDO:100051	ORPHANET.ORDO:91378
ORPHANET.ORDO:100054	ORPHANET.ORDO:91378
ORPHANET.ORDO:100069	ORPHANET.ORDO:282
ORPHANET.ORDO:100070	ORPHANET.ORDO:282
ORPHANET.ORDO:100070	ORPHANET.ORDO:306708
ORPHANET.ORDO:100071	ORPHANET.ORDO:98131
ORPHANET.ORDO:100094	owl:Thing
ORPHANET.ORDO:1000	ORPHANET.ORDO:284804
ORPHANET.ORDO:1000	ORPHANET.ORDO:90642
ORPHANET.ORDO:1001	owl:Thing
ORPHANET.ORDO:1003	ORPHANET.ORDO:183481
ORPHANET.ORDO:1003	ORPHANET.ORDO:294959
ORPHANET.ORDO:1005	ORPHANET.ORDO:183763
ORPHANET.ORDO:1005	ORPHANET.ORDO:79373
ORPHANET.ORDO:1006	ORPHANET.ORDO:79364
ORPHANET.ORDO:1008	ORPHANET.ORDO:183763
ORPHANET.ORDO:1008	ORPHANET.ORDO:79364
ORPHANET.ORDO:100924	ORPHANET.ORDO:95157
ORPHANET.ORDO:100932	ORPHANET.ORDO:98685
ORPHANET.ORDO:100973	owl:Thing
ORPHANET.ORDO:100974	owl:Thing
ORPHANET.ORDO:100976	ORPHANET.ORDO:281097
ORPHANET.ORDO:100978	ORPHANET.ORDO:139393
ORPHANET.ORDO:100979	ORPHANET.ORDO:102013
ORPHANET.ORDO:100980	ORPHANET.ORDO:102012
