IRI	Direct	Inherited
http://www.ebi.ac.uk/efo/EFO_0000001	0	11571
http://www.ebi.ac.uk/efo/EFO_0000408	2	3575
http://www.ebi.ac.uk/efo/EFO_0000635	0	3
http://purl.obolibrary.org/obo/HANCESTRO_0003	0	0
http://www.ebi.ac.uk/efo/EFO_0001643	0	0
http://www.ebi.ac.uk/efo/EFO_0002888	0	22
http://purl.obolibrary.org/obo/OBI_0100026	0	6
http://www.ebi.ac.uk/efo/EFO_0000324	0	1
http://www.ebi.ac.uk/efo/EFO_0000399	0	3
http://www.ebi.ac.uk/efo/EFO_0002934	0	1
http://www.ebi.ac.uk/efo/EFO_0001071	0	13
http://www.ebi.ac.uk/efo/EFO_0001941	0	1
http://purl.obolibrary.org/obo/OBI_0600044	0	0
http://www.ebi.ac.uk/efo/EFO_0000309	0	0
http://www.ebi.ac.uk/efo/EFO_0002937	0	8
http://www.ebi.ac.uk/efo/EFO_0000523	0	1
http://www.ebi.ac.uk/efo/EFO_0000788	0	0
http://www.ebi.ac.uk/efo/EFO_0007589	0	0
http://www.ebi.ac.uk/efo/EFO_0001639	0	8
http://www.ebi.ac.uk/efo/EFO_0000637	0	0
http://www.ebi.ac.uk/efo/EFO_0005934	0	0
http://purl.obolibrary.org/obo/MONDO_0004992	7	368
http://www.ebi.ac.uk/efo/EFO_0000565	0	39
http://www.ebi.ac.uk/efo/EFO_0004288	0	30
http://www.ebi.ac.uk/efo/EFO_0000756	4	15
http://purl.obolibrary.org/obo/MONDO_0008315	15	0
http://www.ebi.ac.uk/efo/EFO_0002887	0	0
http://www.ebi.ac.uk/efo/EFO_0001663	0	0
http://www.ebi.ac.uk/efo/EFO_0002936	0	0
http://www.ebi.ac.uk/efo/EFO_0000602	0	0
http://www.ebi.ac.uk/efo/EFO_0000574	1	65
http://purl.obolibrary.org/obo/MONDO_0005575	1	17
http://www.ebi.ac.uk/efo/EFO_0002958	0	0
http://www.ebi.ac.uk/efo/EFO_0002694	0	85
http://www.ebi.ac.uk/efo/EFO_0002796	0	0
http://purl.obolibrary.org/obo/MONDO_0002974	7	7
http://www.ebi.ac.uk/efo/EFO_0002884	0	0
http://www.ebi.ac.uk/efo/EFO_0000186	0	0
http://www.ebi.ac.uk/efo/EFO_0001641	0	6
http://www.ebi.ac.uk/efo/EFO_0001640	3	3
http://www.ebi.ac.uk/efo/EFO_0002922	0	3
http://www.ebi.ac.uk/efo/EFO_0002956	0	0
http://www.ebi.ac.uk/efo/EFO_0002886	0	3
http://www.ebi.ac.uk/efo/EFO_0001899	0	0
http://www.ebi.ac.uk/efo/EFO_0004416	0	0
http://www.ebi.ac.uk/efo/EFO_0001824	0	0
http://www.ebi.ac.uk/efo/EFO_0003836	6	12
http://www.ebi.ac.uk/efo/EFO_0004417	0	0
http://www.ebi.ac.uk/efo/EFO_0004446	0	163
http://www.ebi.ac.uk/efo/EFO_0004364	0	0
http://www.ebi.ac.uk/efo/EFO_0004415	0	0
http://www.ebi.ac.uk/efo/EFO_0004457	0	0
http://www.ebi.ac.uk/efo/EFO_0004365	0	0
http://www.ebi.ac.uk/efo/EFO_0004366	0	0
http://www.ebi.ac.uk/efo/EFO_0004367	0	0
http://www.ebi.ac.uk/efo/EFO_0004923	0	0
http://www.ebi.ac.uk/efo/EFO_0002009	0	0
http://purl.obolibrary.org/obo/MONDO_0005180	15	5
http://purl.obolibrary.org/obo/DOID_0050890	0	1
http://purl.obolibrary.org/obo/DOID_10113	0	0
http://purl.obolibrary.org/obo/DOID_10718	0	0
http://purl.obolibrary.org/obo/DOID_13406	0	0
http://purl.obolibrary.org/obo/DOID_1947	1	0
http://purl.obolibrary.org/obo/DOID_7551	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0004	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0005	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0006	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0008	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0009	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0010	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0011	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0013	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0014	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0015	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0016	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0017	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0019	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0021	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0022	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0027	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0290	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0304	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0305	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0306	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0383	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0438	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0462	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0463	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0487	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0498	0	0
