Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score
ukb-e-104900_AFR,Time spent doing vigorous physical activity,physical activity,EFO:0003940,http://www.ebi.ac.uk/efo/EFO_0003940,0.601
finn-b-Z21_FIT_ADJ_OTH_DEVICES,Fitting and adjustment of other devices,adjustment disorder,MONDO:0003265,http://purl.obolibrary.org/obo/MONDO_0003265,0.59
ukb-e-1498_EAS,Coffee intake,coffee consumption,EFO:0004330,http://www.ebi.ac.uk/efo/EFO_0004330,0.608
ukb-b-16652,"Non-cancer illness code, self-reported: pleurisy",pleurisy,EFO:1001825,http://www.ebi.ac.uk/efo/EFO_1001825,0.583
ukb-b-1306,Diagnoses - main ICD10: K29.6 Other gastritis,chronic gastritis,EFO:0000337,http://www.ebi.ac.uk/efo/EFO_0000337,0.586
ukb-e-2020_EAS,"Loneliness, isolation",loneliness measurement,EFO:0007865,http://www.ebi.ac.uk/efo/EFO_0007865,0.588
ukb-b-8241,Treatment/medication code: prednisolone,response to prednisolone,EFO:0009168,http://www.ebi.ac.uk/efo/EFO_0009168,0.581
ukb-b-2285,Diagnoses - main ICD10: H25.0 Senile incipient cataract,senile cataract,MONDO:0004847,http://purl.obolibrary.org/obo/MONDO_0004847,0.583
ukb-e-2020_MID,"Loneliness, isolation",loneliness measurement,EFO:0007865,http://www.ebi.ac.uk/efo/EFO_0007865,0.588
ukb-e-100490_AFR,Intake of sugar added to tea,sugar consumption measurement,EFO:0010158,http://www.ebi.ac.uk/efo/EFO_0010158,0.588
ukb-a-426,Eye problems/disorders: Cataract,eye disease,EFO:0003966,http://www.ebi.ac.uk/efo/EFO_0003966,0.636
ukb-b-9708,Diagnoses - main ICD10: M79.66 Pain in limb (Lower leg),Lower limb pain,HP:0012514,http://purl.obolibrary.org/obo/HP_0012514,0.581
ukb-b-2557,Smoked cigarette or pipe within last hour,nicotine dependence,EFO:0003768,http://www.ebi.ac.uk/efo/EFO_0003768,0.574
ukb-b-4106,Chest pain or discomfort when walking uphill or hurrying,Chest pain,HP:0100749,http://purl.obolibrary.org/obo/HP_0100749,0.567
