# Date and time run: 2023-08-07 20:41:41.057748
# Target Ontology: http://www.ebi.ac.uk/efo/efo.owl
# Text2term version: 3.0.0
# Minimum Score: 0.60
# Mapper: tfidf
# Base IRIs: ('http://www.ebi.ac.uk/efo/', 'http://purl.obolibrary.org/obo/MONDO', 'http://purl.obolibrary.org/obo/HP', 'http://www.orpha.net/ORDO', 'http://purl.obolibrary.org/obo/DOID')
# Max Mappings: 1
# Term Type: classes
# Deprecated Terms Excluded
# Unmapped Terms Excluded
# Of 22406 entries, 11543 were successfully mapped to 5315 unique terms
Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score,Tags
ieu-b-5103,Schizophrenia,schizophrenia,MONDO:0005090,http://purl.obolibrary.org/obo/MONDO_0005090,0.989,None
ieu-b-5088,Sepsis (under 75),Sepsis,HP:0100806,http://purl.obolibrary.org/obo/HP_0100806,0.658,None
ieu-b-5086,Sepsis (28 day death),Sepsis,HP:0100806,http://purl.obolibrary.org/obo/HP_0100806,0.605,None
ukb-a-583,Diagnoses - main ICD10: R11 Nausea and vomiting,Nausea and vomiting,HP:0002017,http://purl.obolibrary.org/obo/HP_0002017,0.681,None
finn-b-REAC_ARTHRO_NOS,Other/unspecified reactive arthropathies,crystal arthropathy,MONDO:0022208,http://purl.obolibrary.org/obo/MONDO_0022208,0.648,None
ukb-b-5326,Operative procedures - main OPCS: X33.9 Unspecified other blood transfusion,blood transfusion,EFO:0020988,http://www.ebi.ac.uk/efo/EFO_0020988,0.614,None
ebi-a-GCST009541,Heart failure,heart failure,EFO:0003144,http://www.ebi.ac.uk/efo/EFO_0003144,0.996,None
finn-b-O15_POSTPART_DEPR,Postpartum depression,postpartum depression,EFO:0007453,http://www.ebi.ac.uk/efo/EFO_0007453,0.993,None
ukb-e-2100_AFR,"Seen a psychiatrist for nerves, anxiety, tension or depression","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",EFO:0009821,http://www.ebi.ac.uk/efo/EFO_0009821,0.735,None
finn-b-H7_GLOBEDEGENERATED,Degenerated conditions of globe,eye degenerative disorder,MONDO:0004884,http://purl.obolibrary.org/obo/MONDO_0004884,0.681,None
ebi-a-GCST006654,Vaginal discharge (smell),abnormal vaginal discharge smell,EFO:0009408,http://www.ebi.ac.uk/efo/EFO_0009408,0.884,None
finn-b-CD2_BENIGN_TRANSVERSE_COLON_EXALLC,Benign neoplasm: Transverse colon (all cancers excluded),benign colon neoplasm,MONDO:0002278,http://purl.obolibrary.org/obo/MONDO_0002278,0.701,None
finn-b-KRA_PSY_AUTISM_EXMORE,Autism spe (more controls excluded),autism,EFO:0003758,http://www.ebi.ac.uk/efo/EFO_0003758,0.846,None
finn-b-N14_VAGINITIS,Vaginitis/vulvovaginitis/vulvitis/abscess of vulva,vulvovaginitis,EFO:1001240,http://www.ebi.ac.uk/efo/EFO_1001240,0.849,None
finn-b-L12_PYOGENGRANUL,Pyogenic granuloma,pyogenic granuloma,MONDO:0022096,http://purl.obolibrary.org/obo/MONDO_0022096,0.993,None
ukb-d-22601_31113033,"Job coding: laboratory technician, scientific assistant, cytology screener; hospital, medical or health technician",technician,EFO:0009739,http://www.ebi.ac.uk/efo/EFO_0009739,0.668,None
finn-b-CD2_BENIGN_EAR_RESP_EXALLC,Benign neoplasm of middle ear and respiratory system (all cancers excluded),respiratory system benign neoplasm,MONDO:0000382,http://purl.obolibrary.org/obo/MONDO_0000382,0.789,None
ukb-b-4921,Diagnoses - main ICD10: M75.0 Adhesive capsulitis of shoulder,frozen shoulder,EFO:1000941,http://www.ebi.ac.uk/efo/EFO_1000941,0.781,None
ukb-b-15175,Vitamin and mineral supplements: Vitamin C,vitamin C measurement,EFO:0600003,http://www.ebi.ac.uk/efo/EFO_0600003,0.687,None
finn-b-E4_PANCSECNAS,"Disorder of pancreatic internal secretion, other and/or unspecified",pancreas disease,EFO:0009605,http://www.ebi.ac.uk/efo/EFO_0009605,0.741,None
finn-b-I9_AORTDIS,Dissection of aorta,Aortic dissection,HP:0002647,http://purl.obolibrary.org/obo/HP_0002647,0.82,None
